plant_id,material_group,material_id,quality_factor
PLT001,Cement,MAT001,0.9
PLT001,Fine Aggregate,MAT004,0.92
PLT001,Coarse Aggregate,MAT007,0.94
PLT001,Clay,MAT010,0.95
PLT001,Admixture,MAT012,0.96
PLT002,Cement,MAT002,0.86
PLT002,Fine Aggregate,MAT005,0.88
PLT002,Coarse Aggregate,MAT009,0.87
PLT002,Clay,MAT011,0.78
PLT002,Admixture,MAT012,0.96
PLT003,Cement,MAT001,0.9
PLT003,Fine Aggregate,MAT004,0.92
PLT003,Coarse Aggregate,MAT008,0.93
PLT003,Clay,MAT010,0.95
PLT003,Admixture,MAT012,0.96
PLT004,Cement,MAT003,0.82
PLT004,Fine Aggregate,MAT006,0.84
PLT004,Coarse Aggregate,MAT009,0.87
PLT004,Clay,MAT011,0.78
PLT004,Admixture,MAT013,0.91
PLT005,Cement,MAT002,0.86
PLT005,Fine Aggregate,MAT005,0.88
PLT005,Coarse Aggregate,MAT007,0.94
PLT005,Clay,MAT010,0.95
PLT005,Admixture,MAT012,0.96
PLT006,Cement,MAT001,0.9
PLT006,Fine Aggregate,MAT004,0.92
PLT006,Coarse Aggregate,MAT008,0.93
PLT006,Clay,MAT010,0.95
PLT006,Admixture,MAT013,0.91
PLT007,Cement,MAT002,0.86
PLT007,Fine Aggregate,MAT005,0.88
PLT007,Coarse Aggregate,MAT009,0.87
PLT007,Clay,MAT011,0.78
PLT007,Admixture,MAT012,0.96
PLT008,Cement,MAT003,0.82
PLT008,Fine Aggregate,MAT006,0.84
PLT008,Coarse Aggregate,MAT008,0.93
PLT008,Clay,MAT011,0.78
PLT008,Admixture,MAT013,0.91
PLT009,Cement,MAT002,0.86
PLT009,Fine Aggregate,MAT005,0.88
PLT009,Coarse Aggregate,MAT009,0.87
PLT009,Clay,MAT010,0.95
PLT009,Admixture,MAT012,0.96
PLT010,Cement,MAT001,0.9
PLT010,Fine Aggregate,MAT004,0.92
PLT010,Coarse Aggregate,MAT007,0.94
PLT010,Clay,MAT010,0.95
PLT010,Admixture,MAT012,0.96
PLT011,Cement,MAT003,0.82
PLT011,Fine Aggregate,MAT006,0.84
PLT011,Coarse Aggregate,MAT009,0.87
PLT011,Clay,MAT011,0.78
PLT011,Admixture,MAT013,0.91
PLT012,Cement,MAT001,0.9
PLT012,Fine Aggregate,MAT004,0.92
PLT012,Coarse Aggregate,MAT008,0.93
PLT012,Clay,MAT010,0.95
PLT012,Admixture,MAT013,0.91
