production_id,plant_id,production_date,product_code,target_strength_mpa,volume_m3,cement_kg_m3,water_l_m3,fine_aggregate_kg_m3,coarse_aggregate_kg_m3,moisture_pct,process_efficiency,material_cost_cad
PRD0000001,PLT001,2025-01-01,C40,40,87.12,365.77,158.74,778.76,1048.22,2.16,0.8644,20536.69
PRD0000002,PLT001,2025-01-01,C35,35,91.23,332.81,164.56,781.98,1043.33,4.58,0.9495,19585.81
PRD0000003,PLT001,2025-01-02,C25,25,88.9,267.34,179.38,781.96,1018.5,4.28,0.8862,16915.41
PRD0000004,PLT001,2025-01-02,C35,35,100.58,332.58,176.57,751.2,1035.97,4.94,0.9244,21725.03
PRD0000005,PLT001,2025-01-03,C40,40,98.73,359.96,156.7,739.66,1038.48,5.85,0.906,23039.52
PRD0000006,PLT001,2025-01-03,C35,35,126.35,331.31,171.49,773.58,1000.03,4.78,0.9141,27361.89
PRD0000007,PLT001,2025-01-03,C35,35,114.92,321.26,166.72,776.97,1022.03,4.85,0.9321,24776.44
PRD0000008,PLT001,2025-01-04,C35,35,103.95,327.99,168.65,797.37,994.03,5.66,0.8511,22857.06
PRD0000009,PLT001,2025-01-04,C35,35,125.65,328.85,162.9,779.83,1009.54,3.95,0.94,27036.52
PRD0000010,PLT001,2025-01-04,C35,35,85.07,327.44,168.63,737.01,1034.91,4.67,0.9342,18331.16
PRD0000011,PLT001,2025-01-04,C40,40,103.19,357.82,161.95,771.42,1000.14,4.06,0.8966,24136.29
PRD0000012,PLT001,2025-01-06,C40,40,120.58,364.52,153.25,771.16,1039.96,4.38,0.8952,28211.81
PRD0000013,PLT001,2025-01-06,C35,35,78.16,327.73,173.2,726.93,990.08,4.98,0.8783,17074.8
PRD0000014,PLT001,2025-01-06,C30,30,126.23,305.04,168.09,736.66,1013.84,3.36,0.8981,25629.09
PRD0000015,PLT001,2025-01-06,C40,40,119.56,361.82,160.93,765.94,1002.18,2.76,0.9125,27855.19
PRD0000016,PLT001,2025-01-07,C35,35,145.24,338.16,171.34,754.02,989.3,4.72,0.9177,31424.22
PRD0000017,PLT001,2025-01-07,C35,35,142.19,321.74,170.54,730.28,1000.81,3.39,0.8964,30925.92
PRD0000018,PLT001,2025-01-07,C25,25,105.11,271.98,191.66,723.23,989.53,4.88,0.9393,19740.47
PRD0000019,PLT001,2025-01-08,C40,40,88.23,361.33,159.44,706.7,1028.03,3.52,0.8955,20642.21
PRD0000020,PLT001,2025-01-08,C30,30,113.46,299.68,182.07,756.03,988.93,2.49,0.893,23065.14
PRD0000021,PLT001,2025-01-08,C40,40,112.87,360.65,168.51,784.57,1005.02,3.08,0.8762,26529.77
PRD0000022,PLT001,2025-01-09,C40,40,128.45,364.76,157.38,737.43,1047.95,4.96,0.9045,29984.93
PRD0000023,PLT001,2025-01-09,C25,25,99.99,260.96,179.53,729.36,981.66,4.71,0.9653,18658.84
PRD0000024,PLT001,2025-01-09,C25,25,116.29,262.57,186.14,792.65,1026.58,4.01,0.9487,21789.11
PRD0000025,PLT001,2025-01-10,C30,30,83.06,297.7,180.85,725.8,1069.53,6.57,0.9037,16842.09
PRD0000026,PLT001,2025-01-10,C35,35,140.92,329.02,169.35,737.63,1039.3,4.03,0.9098,30548.22
PRD0000027,PLT001,2025-01-10,C40,40,140.96,359.94,155.12,762.26,1039.32,2.04,0.9083,32876.78
PRD0000028,PLT001,2025-01-12,C35,35,80.82,333.23,173.35,760.77,1005.47,4.11,0.9451,17368.88
PRD0000029,PLT001,2025-01-12,C35,35,94.69,330.54,168.91,754.4,1027.27,4.71,0.872,20716.26
PRD0000030,PLT001,2025-01-13,C25,25,151.29,261.89,184.82,738.67,1011.38,2.74,0.8893,28763.17
PRD0000031,PLT001,2025-01-13,C40,40,93.96,361.82,156.49,743.65,955.58,4.3,0.8728,22104.08
PRD0000032,PLT001,2025-01-13,C25,25,71.33,271.02,191.62,723.32,1083.88,2.96,0.8716,13619.6
PRD0000033,PLT001,2025-01-14,C40,40,101.9,369.66,161.74,768.54,1071.86,3.32,0.9014,23805.46
PRD0000034,PLT001,2025-01-14,C25,25,101.72,261.39,177.78,756.65,978.75,4.21,0.9007,19286.34
PRD0000035,PLT001,2025-01-14,C30,30,132.28,295.67,176.27,763.89,1030.55,4.56,0.91,26780.68
PRD0000036,PLT001,2025-01-14,C35,35,107.86,323.33,172.76,812.33,1067.2,4.96,0.8833,23533.42
PRD0000037,PLT001,2025-01-15,C25,25,120.56,257.17,181.05,716.39,1047.82,5.05,0.8711,23022.74
PRD0000038,PLT001,2025-01-15,C35,35,103.57,314.6,167.05,757.41,1012.44,4.68,0.9615,22168.64
PRD0000039,PLT001,2025-01-16,C35,35,116.51,320.8,171.46,750.7,967.3,4.89,0.9705,24882.95
PRD0000040,PLT001,2025-01-16,C35,35,102.77,333.5,174.93,758.47,988.41,4.1,0.9555,22030.14
PRD0000041,PLT001,2025-01-16,C40,40,119.66,365.4,157.21,803.6,1033.17,5.49,0.8996,27967.11
PRD0000042,PLT001,2025-01-16,C30,30,131.77,304.51,182.28,730.54,1043.47,4.27,0.951,26410.28
PRD0000043,PLT001,2025-01-17,C25,25,75.42,263.83,177.2,758.33,984.84,3.88,0.9629,14081.22
PRD0000044,PLT001,2025-01-17,C40,40,110.72,368.65,150.83,729.59,999.87,4.87,0.9504,25557.24
PRD0000045,PLT001,2025-01-17,C40,40,116.7,361.45,162.36,761.8,1032.42,6.44,0.8378,27685.69
PRD0000046,PLT001,2025-01-17,C40,40,142.47,371.41,160.93,769.21,1045.4,3.81,0.9385,32982.94
PRD0000047,PLT001,2025-01-18,C35,35,91.01,323.65,167.5,756.31,1015.42,4.96,0.945,19558.67
PRD0000048,PLT001,2025-01-18,C30,30,142.59,300.07,180.32,741.41,995.33,4.74,0.9396,28659.87
PRD0000049,PLT001,2025-01-19,C40,40,122.19,362.25,160.43,818.19,1013.85,2.1,0.9661,28095.22
PRD0000050,PLT001,2025-01-19,C25,25,74.75,263.15,181.11,728.71,971.96,3.55,0.9254,14086.75
PRD0000051,PLT001,2025-01-19,C30,30,78.92,304.21,175.55,702.25,1021.63,3.93,0.9261,15914.77
PRD0000052,PLT001,2025-01-19,C35,35,115.04,334.92,166.43,773.25,998.86,4.28,0.9169,24895.8
PRD0000053,PLT001,2025-01-19,C25,25,121.47,252.22,174.07,753.35,1016.47,5.5,0.8402,23368.63
PRD0000054,PLT001,2025-01-20,C40,40,95.08,372.97,159.72,778.74,1011.45,4.74,0.9481,21958.97
PRD0000055,PLT001,2025-01-20,C25,25,107.84,251.12,176.45,793.84,1022.76,3.5,0.8892,20503.45
PRD0000056,PLT001,2025-01-20,C25,25,102.12,253.76,181.9,780.09,1071.62,2.84,0.9237,19253.02
PRD0000057,PLT001,2025-01-21,C40,40,69.72,361.07,161.71,783.21,1001.85,3.86,0.8726,16402.63
PRD0000058,PLT001,2025-01-21,C30,30,117.23,306.4,173.67,769.05,1059.62,4.09,0.8583,24033.87
PRD0000059,PLT001,2025-01-22,C30,30,118.43,300.42,175.64,756.72,1030.46,6.84,0.98,23567.24
PRD0000060,PLT001,2025-01-22,C40,40,133.68,360.0,153.64,738.86,1029.99,4.47,0.921,31080.47
PRD0000061,PLT001,2025-01-22,C40,40,85.42,359.23,161.39,748.53,1011.2,6.82,0.9487,19724.92
PRD0000062,PLT001,2025-01-22,C35,35,101.04,336.38,163.43,752.89,1025.56,5.24,0.8981,21966.96
PRD0000063,PLT001,2025-01-23,C35,35,167.15,329.66,167.32,765.58,1063.0,4.61,0.9303,36052.77
PRD0000064,PLT001,2025-01-23,C30,30,119.47,298.28,176.82,738.71,1039.97,5.8,0.9228,24110.75
PRD0000065,PLT001,2025-01-23,C40,40,103.21,356.03,165.46,783.39,965.06,4.1,0.8403,24471.07
PRD0000066,PLT001,2025-01-23,C35,35,94.17,332.61,165.76,722.44,931.06,3.85,0.98,20064.17
PRD0000067,PLT001,2025-01-24,C40,40,75.66,367.07,162.67,752.57,1022.98,4.4,0.9377,17519.0
PRD0000068,PLT001,2025-01-24,C35,35,94.86,338.01,167.23,782.45,1068.87,3.34,0.8789,20718.09
PRD0000069,PLT001,2025-01-25,C30,30,142.01,294.35,173.21,763.29,1027.75,6.38,0.8973,28839.85
PRD0000070,PLT001,2025-01-25,C40,40,75.55,360.28,153.25,775.94,1003.84,5.88,0.8262,17974.62
PRD0000071,PLT001,2025-01-25,C25,25,91.82,261.22,175.97,766.19,1014.62,4.2,0.9044,17393.12
PRD0000072,PLT001,2025-01-25,C35,35,124.58,329.48,166.77,769.63,1036.7,4.86,0.98,26542.73
PRD0000073,PLT001,2025-01-25,C35,35,93.42,332.01,168.2,734.19,982.67,3.43,0.9075,20263.42
PRD0000074,PLT001,2025-01-27,C30,30,126.27,291.31,174.73,756.01,1000.41,5.16,0.9166,25522.28
PRD0000075,PLT001,2025-01-27,C30,30,90.21,298.48,176.45,764.75,976.36,6.1,0.9537,18067.77
PRD0000076,PLT001,2025-01-28,C35,35,84.56,322.94,164.65,752.66,987.84,5.36,0.9799,18016.85
PRD0000077,PLT001,2025-01-28,C35,35,115.18,320.09,162.88,800.28,983.33,4.8,0.9737,24578.4
PRD0000078,PLT001,2025-01-28,C35,35,98.55,326.53,173.1,780.32,1027.25,2.37,0.928,21267.83
PRD0000079,PLT001,2025-01-29,C25,25,95.99,263.23,175.86,773.53,1042.89,5.04,0.851,18420.48
PRD0000080,PLT001,2025-01-29,C35,35,115.18,334.28,168.97,724.41,1033.39,3.53,0.8651,25240.75
PRD0000081,PLT001,2025-01-29,C40,40,141.93,367.83,157.87,748.98,1020.96,4.82,0.8883,33262.65
PRD0000082,PLT001,2025-01-29,C25,25,100.94,275.3,178.38,794.07,988.78,1.6,0.9664,18831.58
PRD0000083,PLT001,2025-01-29,C35,35,103.17,333.15,162.02,752.84,1014.3,3.16,0.9303,22253.1
PRD0000084,PLT001,2025-01-30,C30,30,155.16,289.62,175.66,764.3,1009.88,4.33,0.9315,31247.34
PRD0000085,PLT001,2025-01-30,C40,40,101.41,368.52,161.28,806.2,1014.77,6.5,0.8714,23864.97
PRD0000086,PLT001,2025-01-30,C30,30,113.9,294.59,173.63,790.31,1010.29,2.47,0.9094,23063.64
PRD0000087,PLT001,2025-01-30,C30,30,108.21,284.61,178.14,717.36,971.53,5.08,0.8917,22004.65
PRD0000088,PLT001,2025-01-31,C35,35,94.29,332.52,169.55,727.08,1045.07,4.92,0.98,20090.44
PRD0000089,PLT001,2025-01-31,C35,35,127.97,327.13,171.16,775.63,1057.55,3.87,0.8948,27843.21
PRD0000090,PLT001,2025-01-31,C40,40,142.96,370.71,150.99,748.53,1007.26,4.88,0.9014,33399.35
PRD0000091,PLT001,2025-01-31,C35,35,92.79,336.68,167.02,701.99,991.09,3.4,0.903,20148.02
PRD0000092,PLT001,2025-02-02,C40,40,88.53,364.92,162.81,737.24,1036.76,4.23,0.9327,20524.39
PRD0000093,PLT001,2025-02-02,C25,25,87.23,264.11,178.6,759.7,1013.68,3.04,0.8553,16721.08
PRD0000094,PLT001,2025-02-03,C40,40,107.88,373.77,161.13,788.2,951.58,2.7,0.8777,25349.64
PRD0000095,PLT001,2025-02-03,C25,25,84.92,258.87,181.11,732.01,1033.43,4.57,0.9292,15987.58
PRD0000096,PLT001,2025-02-03,C40,40,113.48,371.01,164.75,779.44,1044.21,2.56,0.8313,26964.03
PRD0000097,PLT001,2025-02-04,C35,35,69.08,327.77,164.43,762.48,1047.93,6.66,0.9281,14909.09
PRD0000098,PLT001,2025-02-04,C30,30,103.42,294.47,178.42,734.62,1081.46,6.64,0.9498,20733.58
PRD0000099,PLT001,2025-02-05,C35,35,119.74,332.04,160.87,791.24,1039.06,5.39,0.9323,25813.71
